id,customer_name,sentiment,csat_score,call_timestamp,reason,city,state,channel,response_time,call duration in minutes,call_center
AGX-79640692-7-100627-x4,Torrie Wann,Negative,,10/04/2020,Billing Question,Lexington,Kentucky,Email,Below SLA,25,Chicago/IL
EVY-85902976-a-973416-a6,Fifi Brien,Very Positive,,10/19/2020,Payments,Washington,District of Columbia,Call-Center,Within SLA,18,Denver/CO
YNX-08765761-t-935381-BC,Aggie Pennicard,Neutral,,10/06/2020,Billing Question,Springfield,Illinois,Email,Above SLA,8,Chicago/IL
RAU-37744396-2-812188-W2,Ailsun Feaks,Negative,,10/04/2020,Billing Question,Salt Lake City,Utah,Chatbot,Within SLA,17,Denver/CO
UPZ-68823283-g-164011-tl,Fina Hebborn,Negative,,10/10/2020,Billing Question,Austin,Texas,Call-Center,Below SLA,39,Los Angeles/CA
NMS-25456230-5-260339-Sn,Hazel Sheed,Positive,,10/04/2020,Billing Question,Kent,Washington,Email,Within SLA,10,Los Angeles/CA
XMQ-21155114-J-492481-y0,Vallie Frusher,Very Negative,,10/23/2020,Payments,Detroit,Michigan,Call-Center,Below SLA,40,Baltimore/MD
PXG-75757404-D-089250-VQ,Ephrem Sweetland,Neutral,,10/03/2020,Service Outage,Apache Junction,Arizona,Chatbot,Within SLA,16,Baltimore/MD
VQX-77431944-V-379779-rN,Ines Cosson,Negative,,10/22/2020,Service Outage,Salem,Oregon,Email,Above SLA,19,Los Angeles/CA
XRH-28039385-i-441412-qT,Tildi Perfitt,Neutral,,10/28/2020,Service Outage,Arlington,Virginia,Email,Within SLA,18,Los Angeles/CA
EZG-96969078-O-814391-br,Emmalynn Torry,Neutral,7,10/05/2020,Billing Question,Lehigh Acres,Florida,Call-Center,Within SLA,42,Chicago/IL
YHS-37219789-W-476570-qZ,Flemming Sullens,Negative,,10/14/2020,Billing Question,Hattiesburg,Mississippi,Email,Within SLA,42,Los Angeles/CA
CMN-43419712-H-829273-3y,Rowen Snow,Positive,9,10/09/2020,Payments,Saint Paul,Minnesota,Call-Center,Below SLA,32,Denver/CO
FBO-87879427-J-009183-mG,Corbet Baleine,Positive,9,10/14/2020,Payments,Boston,Massachusetts,Call-Center,Within SLA,42,Los Angeles/CA
VEE-48830806-E-435650-BJ,Kerry Trusslove,Negative,,10/08/2020,Service Outage,Orlando,Florida,Web,Within SLA,20,Baltimore/MD
JWP-41440696-2-031451-C6,Boycie Tegler,Very Negative,4,10/15/2020,Billing Question,Winston Salem,North Carolina,Call-Center,Within SLA,37,Chicago/IL
KGG-17002859-h-043550-OQ,Aurelie Gundry,Positive,,10/11/2020,Billing Question,Lakewood,Washington,Web,Above SLA,11,Los Angeles/CA
WCW-60464774-8-695239-xQ,Rachelle Gellibrand,Positive,,10/07/2020,Billing Question,Metairie,Louisiana,Web,Within SLA,13,Chicago/IL
UGV-83416198-x-359115-7q,Arleta Staniland,Positive,8,10/17/2020,Billing Question,Portland,Oregon,Web,Below SLA,31,Los Angeles/CA
JDY-21229920-K-658247-id,Lucky Paladini,Negative,,10/18/2020,Billing Question,Austin,Texas,Web,Within SLA,28,Chicago/IL
MNT-33811761-U-959291-5J,Inga Grenkov,Negative,5,10/06/2020,Billing Question,Richmond,California,Chatbot,Below SLA,43,Los Angeles/CA
AYN-54834891-R-354000-hr,Ashla Raffles,Neutral,,10/23/2020,Billing Question,Charlotte,North Carolina,Web,Below SLA,9,Baltimore/MD
MBV-45413978-v-824180-Qi,Vikky Keune,Very Positive,10,10/26/2020,Billing Question,Lexington,Kentucky,Email,Within SLA,16,Baltimore/MD
XKQ-86388884-2-623657-TD,Fransisco Oager,Very Negative,,10/11/2020,Service Outage,Bronx,New York,Email,Below SLA,36,Baltimore/MD
HLJ-99212779-W-167630-1I,Peyter Balogun,Positive,8,10/25/2020,Billing Question,Washington,District of Columbia,Web,Within SLA,13,Baltimore/MD
RLG-69874742-f-666744-im,Cybill Curnok,Neutral,,10/02/2020,Service Outage,Colorado Springs,Colorado,Web,Below SLA,35,Chicago/IL
NWG-45955402-4-774653-2L,Marlo Hillin,Very Negative,2,10/25/2020,Billing Question,Fredericksburg,Virginia,Chatbot,Within SLA,6,Los Angeles/CA
KUZ-89193200-l-141645-d9,Ricky Bonavia,Very Positive,,10/22/2020,Payments,Springfield,Illinois,Call-Center,Within SLA,30,Los Angeles/CA
DFG-59356303-I-414939-zb,Feliza Sipson,Negative,,10/10/2020,Service Outage,Troy,Michigan,Email,Within SLA,8,Los Angeles/CA
TTI-53335670-t-550401-k3,Cristin Malkinson,Very Positive,,10/29/2020,Billing Question,Fort Wayne,Indiana,Call-Center,Above SLA,16,Chicago/IL
SHV-99168018-u-774671-0p,Hilde Clarkin,Negative,,10/05/2020,Billing Question,Corpus Christi,Texas,Web,Below SLA,5,Los Angeles/CA
MIJ-38906805-w-561289-qL,Orelia Orae,Negative,,10/07/2020,Billing Question,Canton,Ohio,Chatbot,Below SLA,24,Los Angeles/CA
TGV-97529818-F-226520-Gq,Jenn Brownhill,Neutral,,10/03/2020,Billing Question,Honolulu,Hawaii,Email,Within SLA,28,Los Angeles/CA
MOC-43485174-5-316370-dD,Maison Deverose,Negative,,10/30/2020,Billing Question,Shreveport,Louisiana,Chatbot,Above SLA,15,Los Angeles/CA
YJM-29316870-c-314136-0T,Gery Portlock,Negative,,10/15/2020,Billing Question,Tulsa,Oklahoma,Call-Center,Within SLA,10,Baltimore/MD
GTY-39005350-Q-328428-YA,Josey Osinin,Negative,6,10/29/2020,Billing Question,Charleston,West Virginia,Web,Below SLA,36,Chicago/IL
YGX-70181255-1-256525-By,Clarine Moodie,Positive,7,10/23/2020,Billing Question,Tampa,Florida,Chatbot,Below SLA,23,Baltimore/MD
XNL-78408806-T-458965-qS,Geri Covelle,Neutral,6,10/30/2020,Billing Question,Memphis,Tennessee,Call-Center,Within SLA,28,Los Angeles/CA
PXT-69194953-d-447393-QR,Marga Demicoli,Negative,4,10/11/2020,Billing Question,Burbank,California,Chatbot,Above SLA,37,Chicago/IL
JRK-00609213-W-674012-db,Maxim Scandroot,Neutral,6,10/25/2020,Payments,Dallas,Texas,Call-Center,Within SLA,27,Los Angeles/CA
KTC-30853866-q-759167-aF,Nadeen Pittendreigh,Neutral,7,10/27/2020,Billing Question,Lexington,Kentucky,Chatbot,Within SLA,37,Denver/CO
HZX-57540856-P-760144-Pq,Marrilee McArd,Neutral,5,10/07/2020,Billing Question,Pompano Beach,Florida,Email,Within SLA,11,Los Angeles/CA
BGF-80045023-s-226299-lK,Corella Pollicatt,Negative,,10/09/2020,Billing Question,Las Vegas,Nevada,Call-Center,Within SLA,15,Baltimore/MD
LWD-82447125-D-644546-bf,Augustina Vockins,Negative,,10/05/2020,Billing Question,Washington,District of Columbia,Web,Below SLA,38,Chicago/IL
FPF-80857502-f-712054-6o,Zarah Johann,Negative,4,10/25/2020,Billing Question,Fort Myers,Florida,Web,Within SLA,13,Los Angeles/CA
AQP-09146601-u-158026-WF,Redford Ivanishchev,Very Positive,9,10/18/2020,Payments,Roanoke,Virginia,Call-Center,Below SLA,11,Baltimore/MD
ASS-22875557-o-550724-IC,Terrill Kick,Neutral,7,10/16/2020,Service Outage,Miami,Florida,Chatbot,Within SLA,32,Baltimore/MD
LCC-98072611-T-854471-sd,Keith Krug,Neutral,,10/16/2020,Billing Question,Lincoln,Nebraska,Email,Below SLA,8,Chicago/IL
DSU-28581460-x-002850-q8,Alfonso Ardling,Positive,7,10/15/2020,Billing Question,Hartford,Connecticut,Web,Within SLA,29,Los Angeles/CA
CAU-19658969-U-798035-SD,Rachele Haville,Neutral,,10/21/2020,Billing Question,San Francisco,California,Call-Center,Within SLA,8,Denver/CO
ODP-49997228-u-303230-W5,Joachim Armand,Negative,,10/19/2020,Service Outage,Minneapolis,Minnesota,Chatbot,Below SLA,39,Los Angeles/CA
CDP-21514284-p-871522-Xi,Kathryn Roof,Very Negative,,10/07/2020,Service Outage,San Francisco,California,Chatbot,Within SLA,24,Baltimore/MD
VVN-36195665-z-321563-dI,Lewiss Guillard,Neutral,7,10/24/2020,Service Outage,Peoria,Illinois,Chatbot,Below SLA,24,Los Angeles/CA
RVE-32116131-o-035627-C3,Marjy Inmett,Very Positive,,10/15/2020,Billing Question,Fayetteville,North Carolina,Email,Within SLA,27,Baltimore/MD
DIY-05490783-q-896657-pm,Vince Archard,Positive,,10/18/2020,Billing Question,Albuquerque,New Mexico,Chatbot,Within SLA,30,Los Angeles/CA
KUF-49133016-8-128406-mx,Rooney Hegg,Negative,4,10/07/2020,Billing Question,Houston,Texas,Call-Center,Above SLA,33,Baltimore/MD
QKX-98879212-W-424340-cV,Kimmi Frost,Positive,,10/29/2020,Payments,San Francisco,California,Call-Center,Within SLA,7,Los Angeles/CA
NGK-06105458-8-018546-uH,Minnaminnie Dollman,Negative,6,10/29/2020,Billing Question,Tacoma,Washington,Chatbot,Within SLA,20,Los Angeles/CA
XUU-06543953-1-404556-et,Natale Slyne,Neutral,,10/19/2020,Service Outage,Montgomery,Alabama,Chatbot,Above SLA,44,Chicago/IL
XCL-88834572-N-136296-Iw,Aeriell Croft,Neutral,,10/20/2020,Billing Question,San Francisco,California,Chatbot,Within SLA,30,Los Angeles/CA
GVD-91650922-K-616880-vu,Ailyn Langstone,Very Positive,9,10/17/2020,Billing Question,Montgomery,Alabama,Email,Above SLA,15,Baltimore/MD
OGR-34257616-4-553825-Wi,Tobin Kerss,Positive,,10/14/2020,Billing Question,Fredericksburg,Virginia,Web,Within SLA,25,Baltimore/MD
YLS-51088325-f-606647-fC,Bjorn Collingwood,Very Negative,4,10/29/2020,Service Outage,Macon,Georgia,Web,Within SLA,28,Baltimore/MD
RHI-49583683-y-738413-bh,Mateo Northcliffe,Negative,,10/13/2020,Billing Question,Glendale,California,Chatbot,Above SLA,33,Baltimore/MD
KLT-10950188-s-340191-Po,Hanni Curryer,Negative,,10/15/2020,Billing Question,Peoria,Arizona,Chatbot,Within SLA,9,Baltimore/MD
EPM-97130933-U-560212-dr,Hollie Gibbetts,Negative,,10/17/2020,Billing Question,South Bend,Indiana,Web,Within SLA,43,Los Angeles/CA
KKP-08307815-a-533858-sL,Murray Calyton,Negative,,10/11/2020,Service Outage,Erie,Pennsylvania,Chatbot,Below SLA,10,Baltimore/MD
NKL-46661864-X-889382-vO,Etti Stanmer,Negative,4,10/11/2020,Payments,Sterling,Virginia,Call-Center,Within SLA,25,Chicago/IL
VII-30050552-K-168241-4d,Powell Swainston,Negative,,10/03/2020,Billing Question,Littleton,Colorado,Web,Within SLA,35,Los Angeles/CA
JWN-58736401-R-365072-mB,Sanford Cush,Very Positive,,10/10/2020,Billing Question,Louisville,Kentucky,Email,Above SLA,16,Baltimore/MD
GVY-11647966-a-242642-Ts,Pansie Drydale,Very Positive,10,10/25/2020,Billing Question,Salt Lake City,Utah,Web,Below SLA,44,Chicago/IL
